"#","Schedule Due","Kode SL","Snfg","Nama Fg","Jumlah Pcs","Qty Release","Qty Not Hit","Type","Remark","Level 1","Level 2","Level 3","Actions"
"76","2022-06-21","(not set)","CUS-CLPGCRB-W/H0004","Wardah Refill Colorfit Perfect Glow Cushion 22N Light Ivory","7687","6912","775","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"77","2022-06-21","BT1 ","L-SLWCA-W/H0002","Wardah Colorfit Last All Day Lip Paint 12 Berry Lasting 4.2 g","18000","9360","8640","NH,NI","Efek domino dari jadwal sebelumnya","Machine","Mesin Down","Select Kendala",""
"78","2022-06-21","ZL1 ","F-LLF02-W/H0012","Wardah Lightening Liquid Foundation 02. Beige 25 ml (Blister)","19386","18126","1260","NH","Paper Supply Partial, Beda data stock","Internal – Material Supply","Packaging/FG Impor Supply","Beda Data Stock",""
"79","2022-06-21","xg2 ","F-PTCMCW33-MO/H0009","MAKE OVER Powerstay Total Cover Matte Cream Foundation W33 Honey Beige 12 g","216","204","12","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"80","2022-06-21","xg1 ","F-PTCMCW33-MO/H0008","MAKE OVER Powerstay Total Cover Matte Cream Foundation W33 Honey Beige 12 g","216","205","11","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"81","2022-06-21","bm1 ","M-BSC-EM/H0044","Emina Bright Stuff Moisturizing Cream 20 ml","44461","44461","","NH","MENUNGGU BULK ","Quality","Bulk Pending / Rework / Reject","Kualitas Bulk Bermasalah",""
"82","2022-06-21","VI2 ","TC-RE02-W/H0014","Wardah Exclusive Two Way Cake 02 Light Beige 12 g","4350","4211","139","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"83","2022-06-20","BI3 ","FW-PCSAC-KA/H0066","Kahf Oil and Acne Care Face Wash 100 ml","9508","8395","1113","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"84","2022-06-20","ph1 ","EB-EK-W3G/H0008","Wardah EyeXpert Eyebrow Kit 3 g (Pc(s))","3996","2496","1500","NH,NI","due terlewat karena efek domino ari jadwal sebelumnya","Leadtime","Leadtime &gt; Standard","Select Kendala",""
"85","2022-06-20","BI1 ","FW-PCSAC-KA/H0064","Kahf Oil and Acne Care Face Wash 100 ml","9508","8996","512","NI","Bulk Habis","Loss MPQ","Bulk habis","Hilang karena proses",""
