"Internal Reference","Korporat Code","Name","Last Updated on","General State","Copackaging Routing Type/Display Name","MPS Lead Time","Ppc State"
"BOTS-ABHS30-K","BOTS-ABHS30-K","Botol Sticker ABH Serum 30 K","2022-06-05 13:31:20","Confirmed","","3","Confirmed"
"BOTS-APRT100-W","BOTS-APRT100-W","Botol Sticker Acnederm Pore Refining Toner 100 W (Pc(s))","2022-06-05 13:31:28","Confirmed","","5","Confirmed"
"BOTS-AVFMR0-E","BOTS-AVFMR0-E","Botol Sticker Aloe Vera Face Mist 60 E","2022-06-05 13:31:32","Confirmed","","3","Confirmed"
"BOTS-AHG50R1-E","BOTS-AHG50R1-E","Botol Sticker Aloe Vera Hand Gel 50 R1 E","2022-06-05 13:31:40","Confirmed","","5","Confirmed"
"BOTS-AHG60R0-E","BOTS-AHG60R0-E","Botol Sticker Aloe Vera Hand Gel 60 E","2022-06-05 13:31:46","Confirmed","","5","Confirmed"
"BOTS-APD60NP-W","BOTS-APD60NP-W","Botol Sticker Anti Perspirant Deodorant Non Parfum Wardah 6","2022-06-05 13:31:48","Confirmed","","5","Confirmed"
"BOTS-BSFT100-E","BOTS-BSFT100-E","Botol Sticker BS Face Toner 100 E","2022-06-05 13:31:57","Confirmed","","3","Confirmed"
"BOTS-BMIS80-EM","BOTS-BMIS80-EM","Botol Sticker Body Mist Indian Summer 80 ml Emina (Pc(s))","2022-06-05 13:32:25","Confirmed","","5","Confirmed"
"BOTS-BMOM80-EM","BOTS-BMOM80-EM","Botol Sticker Body Mist Ocean Mist 80 ml Emina (Pc(s))","2022-06-05 13:32:33","Confirmed","","5","Confirmed"
"BOTS-BMPD80-EM","BOTS-BMPD80-EM","Botol Sticker Body Mist Pixie Dust 80 ml Emina (Pc(s))","2022-06-05 13:32:37","Confirmed","","5","Confirmed"
"BOTS-BMRF80-EM","BOTS-BMRF80-EM","Botol Sticker Body Mist Rain Forest 80 ml Emina (Pc(s))","2022-06-05 13:32:40","Confirmed","","5","Confirmed"
"BOTS-CMCL50R0-EM","BOTS-CMCL50R0-EM","Botol Sticker Creamy Milk Cleansing Lotion 50 E (Pc(s))","2022-06-05 13:33:30","Confirmed","","5","Confirmed"
"BOTS-DTMFT50R0-EM","BOTS-DTMFT50R0-EM","Botol Sticker Double The Moist Face Toner 50 E (Pc(s","2022-06-05 13:33:42","Confirmed","","5","Confirmed"
"BOTS-ELFNW40-W","BOTS-ELFNW40-W","Botol Sticker Everyday Lum. Liq. Found 01 Natural White 40","2022-06-05 13:33:46","Confirmed","","5","Confirmed"
"BOTS-ELFLB40-W","BOTS-ELFLB40-W","Botol Sticker Everyday Lum. Liq. Found 02 Light Beige 40 ml","2022-06-05 13:33:48","Confirmed","","5","Confirmed"
"BOTS-ELFB40-W","BOTS-ELFB40-W","Botol Sticker Everyday Lum. Liq. Found 03 Beige 40 ml Warda","2022-06-05 13:33:53","Confirmed","","5","Confirmed"
"BOTS-EEMASREM50-W","BOTS-EEMASREM50-W","Botol Sticker Eyexpert Mascara Remover 50 ml Wardah Pc(s) (","2022-06-05 13:34:01","Confirmed","","5","Confirmed"
"BOTS-LFNW40NL-W","BOTS-LFNW40NL-W","Botol Sticker Luminous Foundation Natural White Wardah 40","2022-06-05 13:34:35","Confirmed","","5","Confirmed"
"BOTS-MURDLIS50R1-EM","BOTS-MURDLIS50R1-EM","Botol Sticker MUR Dirt Less R1 EM","2022-06-05 13:34:40","Confirmed","","3","Confirmed"
"BOTS-MUR100R0-MO","BOTS-MUR100R0-MO","Botol Sticker Make Up Remover 100 MO Pc(s)","2022-06-05 13:34:44","Confirmed","","5","Confirmed"
"BOTS-MURDLIS50-EM","BOTS-MURDLIS50-EM","Botol Sticker Make Up Remover Disrt less In Sight Emina (Pc","2022-06-05 13:34:47","Confirmed","","5","Confirmed"
"BOTS-MIW185-MO","BOTS-MIW185-MO","Botol Sticker Micellar Water 185 ml Make Over (Pc(s))","2022-06-05 13:34:51","Confirmed","","5","Confirmed"
"BOTS-MWDCBS100-EM","BOTS-MWDCBS100-EM","Botol Sticker Micellar Water DC - Brigh Stuff 100 E (Pc(s))","2022-06-05 13:34:54","Confirmed","","5","Confirmed"
"BOTS-MIWDC100-EM","BOTS-MIWDC100-EM","Botol Sticker Micellar Water Drop Cleanser 100 ml Emina (Pc","2022-06-05 13:34:58","Confirmed","","5","Confirmed"
"BOTS-MIAB50R0-EM","BOTS-MIAB50R0-EM","Botol Sticker Moist In A Bottle 50 E (Pc(s))","2022-06-05 13:35:06","Confirmed","","5","Confirmed"
