"id","snfg_id/display_name","name","product_id/display_name","fro_sediaan","scheduled_start","scheduled_finished","picking_type_id/display_name","mo_id/display_name","state","fro_stream_line"
"__export__.mfg_snfg_line_2440_e43f9473","L-MLCI-OMG/H0047","MO-L-MLCI-BULK/H0049","[L-MLCI-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 09 Charm","S","2022-06-20","2022-06-24","Jatake 4: JTK 4 - Olah","VCI#MO/220001168","Confirmed","A"
"__export__.mfg_snfg_line_2441_9a658d1d","L-MLCI-OMG/H0048","L-MLCI-OMG/H0048","[80009] OMG OH MY GLAM Matte Kiss Lip Cream 09 Charm 3.5 g","S","2022-06-23","2022-06-24","Jatake 4: JTK 4 - Kemas","VCI#MO/220001137","Confirmed","A"
"__export__.mfg_snfg_line_2442_f9813fba","L-MLCI-OMG/H0048","MO-L-MLCI-BULK/H0050","[L-MLCI-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 09 Charm","S","2022-06-20","2022-06-24","Jatake 4: JTK 4 - Olah","VCI#MO/220001167","Confirmed","A"
"__export__.mfg_snfg_line_2443_e959b935","L-MLCA-OMG/H0024","L-MLCA-OMG/H0024","[80001] OMG OH MY GLAM Matte Kiss Lip Cream 01 Dreamy 3.5 g","S","2022-06-23","2022-06-24","Jatake 4: JTK 4 - Kemas","VCI#MO/220001138","Confirmed","A"
"__export__.mfg_snfg_line_2444_14833e98","L-MLCA-OMG/H0024","MO-L-MLCA-BULK/H0024","[L-MLCA-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 01 Dreamy","S","2022-06-20","2022-06-24","Jatake 4: JTK 4 - Olah","VCI#MO/220001169","Confirmed","A"
"__export__.mfg_snfg_line_2445_73ede91b","L-MLCB-OMG/H0045","L-MLCB-OMG/H0045","[80002] OMG OH MY GLAM Matte Kiss Lip Cream 02 Juicy 3.5 g","S","2022-06-23","2022-06-24","Jatake 4: JTK 4 - Kemas","VCI#MO/220001139","Confirmed","A"
"__export__.mfg_snfg_line_2446_656ba874","L-MLCB-OMG/H0045","MO-L-MLCB-BULK/H0047","[L-MLCB-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 02 Juicy","S","2022-06-20","2022-06-24","Jatake 4: JTK 4 - Olah","VCI#MO/220001170","Confirmed","A"
"__export__.mfg_snfg_line_2447_bd9ff06f","L-MLCB-OMG/H0046","L-MLCB-OMG/H0046","[80002] OMG OH MY GLAM Matte Kiss Lip Cream 02 Juicy 3.5 g","S","2022-06-23","2022-06-24","Jatake 4: JTK 4 - Kemas","VCI#MO/220001140","Confirmed","A"
"__export__.mfg_snfg_line_2448_eff88373","L-MLCB-OMG/H0046","MO-L-MLCB-BULK/H0048","[L-MLCB-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 02 Juicy","S","2022-06-20","2022-06-24","Jatake 4: JTK 4 - Olah","VCI#MO/220001171","Confirmed","A"
"__export__.mfg_snfg_line_2449_4d24972c","L-MLCC-OMG/H0022","L-MLCC-OMG/H0022","[80003] OMG OH MY GLAM Matte Kiss Lip Cream 03 Flame 3.5 g","S","2022-06-23","2022-06-24","Jatake 4: JTK 4 - Kemas","VCI#MO/220001141","Confirmed","A"
