DC,BRAND,CAT1,CAT4,ODOO CODE,CORPORATE CODE,BARCODE,ITEM NAME,GT PRICE,QOH,RESERVED (QTY),AVAILABLE (QTY),QOH (Rp),RESERVED (Rp),AVAILABLE (Rp),EXPIRED DATE
DC AMBON,WARDAH,LIP MAKE UP,WARDAH EXCLUSIVE LIP CREAM BLISTER,02158,L-EMC08MM-W,8993137694469,WARDAH EXCLUSIVE MATTE LIP CREAM BLISTER 08 PINKCREDIBLE 4 G,56756.76,48,0,48,2724324.48,0,2724324.48,
DC BALI,EMINA,LIP MAKE UP,EMINA CREAMATTE METALLIC,01925,L-CMME01-EM,8993137702676,EMINA CREAMATTE METALLIC EDITION 01 BERRY STARDUST 5.5 G,44144.15,5,0,5,220720.75,0,220720.75,
DC BALI,EMINA,LIP MAKE UP,EMINA CREAMATTE,01101,L-CM04-EM5.5GR,8993137694339,EMINA CREAMATTE 04 FROSTBITE 5.5 GR (PC(S)),41441.45,2,0,2,82882.9,0,82882.9,
DC BALI,EMINA,LIP MAKE UP,EMINA SUGAR RUSH LIPSTICK,02211,L-SR14MB-EM,8993137705554,EMINA SUGAR RUSH LIPSTICK 14 MOLTEN BROWNIE 3.8 G,32882.89,3,0,3,98648.67,0,98648.67,
DC BALI,EMINA,FACE MAKE UP,EMINA CHEEK LIT CREAM BLUSH,01642,BO-CLCVI-EM10ML,8993137700030,EMINA CHEEK LIT CREAM BLUSH VIOLET 10 ML,27477.48,2,0,2,54954.96,0,54954.96,
DC BALI,EMINA,LIP MAKE UP,EMINA CREAMATTE METALLIC,01927,L-CMME03-EM,8993137702690,EMINA CREAMATTE METALLIC EDITION 03 UNICORN GLOW 5.5 G,44144.15,6,0,6,264864.9,0,264864.9,
DC BALI,EMINA,LIP MAKE UP,EMINA SUGAR RUSH LIPSTICK,02210,L-SR13CC-EM,8993137705547,EMINA SUGAR RUSH LIPSTICK 13 CHOCO CHERRY 3.8 G,32882.89,2,0,2,65765.78,0,65765.78,
DC BALI,EMINA,LIP MAKE UP,EMINA SOULMATTE LIPSTICK,01213,L-SM02U-EM2.3G,8993137695268,EMINA SOULMATTE LIPSTICK 02 UNICORN 2.3 G (PC(S)),50450.46,3,0,3,151351.38,0,151351.38,
DC BALI,EMINA,LIP MAKE UP,EMINA SOULMATTE LIPSTICK,01662,L-SM07G-EM2.3G,8993137700290,EMINA SOULMATTE LIPSTICK 07 GUMMY 2.3 G,50450.46,5,0,5,252252.3,0,252252.3,
DC BALI,EMINA,LIP MAKE UP,EMINA SOULMATTE LIPSTICK,01214,L-SM03F-EM2.3G,8993137695275,EMINA SOULMATTE LIPSTICK 03 FAIRY FANTASY 2.3 G (PC(S)),50450.46,4,0,4,201801.84,0,201801.84,
DC BALI,EMINA,LIP MAKE UP,EMINA SUGAR RUSH LIPSTICK,01602,L-SR10CC-EM3.8GR,8993137699891,EMINA SUGAR RUSH LIPSTICK 10 CARROT CAKE 3.8 GR (PC(S)),32882.89,2,0,2,65765.78,0,65765.78,
DC BALI,EMINA,LIP MAKE UP,EMINA SUGAR RUSH LIPSTICK,02214,L-SR17AF-EM,8993137705585,EMINA SUGAR RUSH LIPSTICK 17 APPLE FONDUE 3.8 G,32882.89,1,0,1,32882.89,0,32882.89,
DC BALI,EMINA,LIP MAKE UP,EMINA SOULMATTE LIPSTICK,01665,L-SM10B-EM2.3G,8993137700320,EMINA SOULMATTE LIPSTICK 10 BLOODY MARY 2.3 G,50450.46,4,0,4,201801.84,0,201801.84,
DC BALI,EMINA,LIP MAKE UP,EMINA SOULMATTE LIPSTICK,01666,L-SM11B-EM2.3G,8993137700399,EMINA SOULMATTE LIPSTICK 11 BUTTERCUP 2.3 G,50450.46,3,0,3,151351.38,0,151351.38,
DC BALI,EMINA,FACE MAKE UP,EMINA SEBUM FIGHTER LOOSE POWDER,01923,B-SFLP-EM8G,8993137702034,EMINA SEBUM FIGHTER LOOSE POWDER 8 G,52252.26,4,0,4,209009.04,0,209009.04,
DC BALI,EMINA,LIP MAKE UP,EMINA LIP CUSHION,01917,L-CUSH02-EM,8993137702195,EMINA LIP CUSHION 02. BE CHERRY 9 G,49099.1,1,0,1,49099.1,0,49099.1,
DC BALI,EMINA,LIP MAKE UP,EMINA LIP CUSHION,02360,L-CUSH03-EM,8993137706872,EMINA LIP CUSHION 03. GET BERRY 9 G,49099.1,7,0,7,343693.7,0,343693.7,
DC BALI,EMINA,LIP MAKE UP,EMINA SOULMATTE LIPSTICK,01217,L-SM06R-EM2.3G,8993137695305,EMINA SOULMATTE LIPSTICK 06 RED QUEEN 2.3 G (PC(S)),50450.46,1,0,1,50450.46,0,50450.46,
DC BALI,EMINA,LIP MAKE UP,EMINA LIP CUSHION,02361,L-CUSH04-EM,8993137706889,EMINA LIP CUSHION 04. SAY CORAL 9 G,49099.1,7,0,7,343693.7,0,343693.7,
DC BALI,EMINA,LIP MAKE UP,EMINA SUGAR RUSH LIPSTICK,00960,L-SR03CB-EM3.8GR,8993137693448,EMINA SUGAR RUSH LIPSTICK 03 CHERRY BOMB 3.8 GR (PC(S)),32882.89,3,0,3,98648.67,0,98648.67,
DC BALI,EMINA,LIP MAKE UP,EMINA SOULMATTE LIPSTICK,01667,L-SM12C-EM2.3G,8993137700405,EMINA SOULMATTE LIPSTICK 12 CHOCO PIE 2.3 G,50450.46,5,0,5,252252.3,0,252252.3,
DC BALI,EMINA,FACE MOISTURIZER,EMINA ALOE VERA FACE MIST,02209,FMI-AV-EM,8993137705981,EMINA ALOE VERA FACE MIST 60 ML,33783.79,1,0,1,33783.79,0,33783.79,
DC BALI,EMINA,FACE MOISTURIZER,EMINA ALOE VERA GEL,02033,HBL-AVG-EM,8993137702201,EMINA ALOE VERA GEL 60 ML,24774.78,2,0,2,49549.56,0,49549.56,
DC BALI,EMINA,COLOGNE,EMINA BODY MIST,02093,BP-BMSSN2-EM,8993137704243,EMINA BODY MIST OCEAN MIST 10 ML,18468.47,1,0,1,18468.47,0,18468.47,
