Code,Product,Quantity on Hand,Reserved,Available
1520,Wardah Perfect Bright Creamy Foam Brightening + Oil Control 60 ml (Pc(s)),0,0,0
1524,Wardah Perfect Bright Peel Off Mask 60 ml,3519,0,3519
1525,Wardah Nature Daily Mineral+ Clarifying Clay Mask 60 ml,25236,0,25236
1528,Wardah Everyday Fruity Sheer Lip Balm Strawberry 4 g,3666,96,3570
1530,Wardah Everyday Moisture Lip Nutrition Honey 4 g,1,0,1
1531,Wardah Everyday Moisture Lip Nutrition Green Tea 4 g,4207,0,4207
1532,"Wardah Everyday Cheek and Lip Tint 01 Red, Set, Glow! 5.5 g",24,0,24
1534,Wardah Everyday Cheek and Lip Tint 03 Pink on Point! 5.5 g,10824,0,10824
1554,Wardah Nature Daily Seaweed Cleansing Micellar Water 100 ml,29988,0,29988
1555,Wardah Nature Daily Seaweed Cleansing Micellar Water 240 ml,2062,0,2062
1558,MAKE OVER Color Stick Matte Crayon 103 Harper 2.6 g,30,0,30
1559,MAKE OVER Color Stick Matte Crayon 104 Blake 2.6 g,73,0,73
1560,MAKE OVER Color Stick Matte Crayon 105 Skye 2.6 g,127,0,127
1571,Wardah EyeXpert The Volume Expert Mascara 7 gr (Pc(s)),151,0,151
1572,Wardah Acnederm Pure Foaming Cleanser 60 ml (Pc(s)),43527,0,43527
1573,Wardah Acnederm Pore Refining Toner 100 ml (Pc(s)),24988,0,24988
1574,Wardah Acnederm Day Moisturizer 40 ml (Pc(s)),22926,0,22926
1575,Wardah Acnederm Acne Spot Treatment Gel 15 ml (Pc(s)),34591,0,34591
1576,Wardah Acnederm Pore Blackhead Balm 20 g (Pc(s)),11356,0,11356
1577,Wardah Acnederm Face Powder 20 g (Pc(s)),13418,0,13418
1578,Wardah Acnederm Night Treatment Moisturizer 40 ml (Pc(s)),6088,0,6088
1579,MAKE OVER Powerstay Weightless Liquid Foundation N10 Marble 33 ml,20,0,20
1580,MAKE OVER Powerstay Weightless Liquid Foundation W22 Warm Ivory 33 ml,1,0,1
1581,MAKE OVER Powerstay Weightless Liquid Foundation C21 Pink Ivory 33 ml,25,0,25
1582,MAKE OVER Powerstay Weightless Liquid Foundation W33 Honey Beige 33 ml,18,0,18
1586,MAKE OVER Powerstay Weightless Liquid Foundation C62 Rich Cocoa 33 ml,25,0,25
1587,MAKE OVER Powerstay Matte Powder Foundation N10 Marble 12 g,23,0,23
1588,MAKE OVER Powerstay Matte Powder Foundation W22 Warm Ivory 12 g,4136,0,4136
1590,MAKE OVER Powerstay Matte Powder Foundation W33 Honey Beige 12 g,452,0,452
1591,MAKE OVER Powerstay Matte Powder Foundation N30 Natural Beige 12 g,6,0,6
1593,MAKE OVER Powerstay Matte Powder Foundation W41 Coral Sand 12 g,9,0,9
1595,MAKE OVER Powerstay Mattifying Transparent Powder 11 g,884,0,884
1606,Wardah Nature Daily Aloe Hydramild Moisturizer Cream 40 ml,15199,0,15199
1607,Wardah Nature Daily Witch Hazel Purifying Moisturizer Gel 40 ml ,12108,0,12108
1608,Wardah Nature Daily Seaweed Balancing Facial Wash 60 ml ,19198,0,19198
1610,Wardah Nature Daily Seaweed Balancing Facial Scrub 60 ml ,9625,0,9625
1615,Wardah Renew You Hydrafirm Sleeping Mask 30 g,1,0,1
1617,Wardah Nature Daily Aloe Hydramild Multifunction Gel 100 ml ,1656,0,1656
1619,Wardah Nature Daily Aloe Hydramild Facial Wash 60 ml ,34920,0,34920
1620,Wardah Nature Daily Aloe Hydramild Facial Wash 100 ml ,11449,0,11449
