"#","Nomo","Snfg","Snfg Komponen","Posisi","Jenis Proses","Lanjutan","Datetime Write","Start","Due","Nama Fg","Process Status","Is Done","Koitem FG","No Batch","Actions"
"75","MO-HT-G-BULK/H0023","HT-P1G-P200/H0012","HT-P1G-P200/H0012","PENGOLAHAN","OLAH 2","1","2022-04-20 09:38:00+07","2022-04-19","2022-04-23","Hair Tonic Ginseng, 200 ml","Processing","(not set)","HT-P1G-P200","(not set)",""
"76","MO-CUS-IPA-BULK/H0003","CUS-IPA-W/H0003","CUS-IPA-W/H0003","PENIMBANGAN","JADWAL BARU","1","2022-04-20 09:35:00+07","2022-04-20","2022-05-09","Instaperfect Skincover Air Cushion 11 Fair Pink 11 g","Next Process","(not set)","CUS-IPA-W","(not set)",""
"77","MO-FW-FW01-BULK/H0048","FW-FW01-KA/H0022","FW-FW01-KA/H0022","NDC","JADWAL BARU","1","2022-04-20 09:29:13+07","2022-04-18","2022-04-19","Kahf Gentle Exfoliating Face Scrub 100 ml","Next Process","Done","FW-FW01-KA","DI18B",""
"78","MO-HT-G1-BULK/H0055","HT-P1G1-P200/H0020","HT-P1G1-P200/H0020","NDC","JADWAL BARU","1","2022-04-20 09:29:13+07","2022-04-12","2022-04-14","Hair Tonic Normal to Oily Hair (Green), 200 ml","Next Process","Done","HT-P1G1-P200","DI12B",""
"79","MO-SS-SBAT30-BULK/H0035","SS-SBAT30-EM/H0032","SS-SBAT30-EM/H0032","NDC","JADWAL BARU","1","2022-04-20 09:29:13+07","2022-04-16","2022-04-20","Emina Sun Battle SPF 30 PA+++ 60 ml","Next Process","Done","SS-SBAT30-EM","DI18A",""
"80","(not set)","SS-SBAT30-EM/BSH0002","SS-SBAT30-EM/BSH0002","NDC","JADWAL BARU","1","2022-04-20 09:29:13+07","2022-04-18","2022-04-23","Emina Sun Battle SPF 30 PA+++ 60 ml","Next Process","Done","SS-SBAT30-EM","(not set)",""
"81","MO-B-R3L02B-BULK/H0024","B-R3L02B-W/H0024","B-R3L02B-W/H0024","PENGOLAHAN","OLAH 1","1","2022-04-20 09:28:00+07","2022-04-18","2022-04-22","Wardah Lightening Matte Powder 02 Beige 20 g","Processing","(not set)","B-R3L02B-W","(not set)",""
"82","MO-L-LLW0C1-BULK/H0009","L-LL01-W2.3G/H0009","L-LL01-W2.3G/H0009","PENGOLAHAN","OLAH PREMIX","2","2022-04-20 09:27:00+07","2022-04-19","2022-04-22","Wardah Lipstick Longlasting 01 Fabulous Peach 2.3 g (Pc(s))","Next Process","(not set)","L-LL01-W2.3G","(not set)",""
"83","MO-B-R3L02B-BULK/H0023","B-R3L02B-W/H0023","B-R3L02B-W/H0023","PENGOLAHAN","OLAH 1","1","2022-04-20 09:26:00+07","2022-04-18","2022-04-21","Wardah Lightening Matte Powder 02 Beige 20 g","Processing","(not set)","B-R3L02B-W","(not set)",""
"84","MO-EB-DK-LB-BULK/H0011","EB-DK01-MO/BSH0002","EB-DK01-MO/BSH0002/01/01","PENGOLAHAN","OLAH 2","1","2022-04-20 09:25:00+07","2022-04-19","2022-04-28","MAKE OVER Eye Brow Definition Kit 01 Dark Brown 6.9 g","Processing","(not set)","EB-DK01-MO","(not set)",""
"85","(not set)","MY-LNLCC-EM/H0002","MY-LNLCC-EM/H0002","QC FG","JADWAL BARU","1","2022-04-20 09:23:49+07","2022-04-20","2022-04-20","Malaysia Emina Poppin’ Matte 01 Lowkey","Next Process","Done","MY-LNLCC-EM","(not set)",""
"86","MO-L-MLCM-BULK/H0006","L-MLCM-OMG/H0006","L-MLCM-OMG/H0006","PENGOLAHAN","OLAH 1","1","2022-04-20 09:23:00+07","2022-04-19","2022-04-21","OMG Oh My Glam Matte Kiss Lip Cream 13 Latte 3.5 g","Processing","(not set)","L-MLCM-OMG","(not set)",""
"87","(not set)","L-RCLCLS3-W/H0001","L-RCLCLS3-W/H0001","KEMAS_2","PACKING","1","2022-04-20 09:22:00+07","2022-04-20","2022-04-21","Wardah Colorfit Fresh Lip Ink Serum 03 High Rise 4 g","Next Process","(not set)","L-RCLCLS3-W","(not set)",""
"88","MO-REM-SBMW-BULK/H0036","MY-RREMSCMWN2-W/H0003","MY-RREMSCMWN2-W/H0003","PENGOLAHAN","OLAH 1","1","2022-04-20 09:21:00+07","2022-04-19","2022-04-26","Malaysia Wardah Nature Daily Seaweed Cleansing Micellar Water 240 ml","Next Process","(not set)","MY-RREMSCMWN2-W","DI19B",""
"89","MO-L-REMA03-BULK/H0007","L-REMA03-W/H0007","L-REMA03-W/H0007","KEMAS_2","FILLING-PACKING_INLINE","1","2022-04-20 09:20:00+07","2022-04-18","2022-04-21","Wardah Exclusive Matte Lipstick 03 Red 3.5 g","Next Process","(not set)","L-REMA03-W","DI18A",""
